CMDLINE python run_backtest.py --strategy enhanced_market_regime --data /Users/martinshih/Downloads/Systematic/Candlestick_Data/MES_Data/U19_H25.csv --steps 1,2 --train_start 2023-01-01 --train_end 2023-03-31 --mes-data --jobs 8
MEM 0.171875 1743649624.2654
MEM 31.390625 1743649624.3706
MEM 52.640625 1743649624.4749
MEM 65.484375 1743649624.5801
MEM 76.484375 1743649624.6842
MEM 84.015625 1743649624.7883
MEM 130.062500 1743649624.8895
MEM 158.718750 1743649624.9947
MEM 197.484375 1743649625.0983
MEM 180.000000 1743649625.2001
MEM 177.906250 1743649625.3060
MEM 175.359375 1743649625.4099
MEM 148.015625 1743649625.5148
MEM 120.078125 1743649625.6200
MEM 120.078125 1743649625.7240
MEM 120.078125 1743649625.8261
MEM 120.078125 1743649625.9277
MEM 120.078125 1743649626.0303
MEM 120.078125 1743649626.1338
MEM 116.500000 1743649626.2379
MEM 116.500000 1743649626.3427
MEM 116.500000 1743649626.4470
MEM 116.390625 1743649626.5496
MEM 110.406250 1743649626.6503
MEM 110.406250 1743649626.7538
MEM 110.406250 1743649626.8563
MEM 110.406250 1743649626.9615
MEM 110.406250 1743649627.0630
MEM 110.406250 1743649627.1682
MEM 110.406250 1743649627.2721
MEM 110.406250 1743649627.3748
MEM 110.406250 1743649627.4760
MEM 110.406250 1743649627.5812
MEM 110.406250 1743649627.6864
MEM 110.406250 1743649627.7917
MEM 110.406250 1743649627.8946
MEM 110.406250 1743649627.9981
MEM 110.406250 1743649628.1031
MEM 110.406250 1743649628.2060
MEM 110.406250 1743649628.3137
MEM 110.406250 1743649628.4227
MEM 110.406250 1743649628.5321
MEM 110.406250 1743649628.6373
MEM 110.406250 1743649628.7426
MEM 110.406250 1743649628.8473
MEM 110.406250 1743649628.9509
MEM 110.406250 1743649629.0551
MEM 110.406250 1743649629.1604
MEM 110.406250 1743649629.2654
MEM 110.406250 1743649629.3758
MEM 110.406250 1743649629.4796
MEM 110.406250 1743649629.5837
MEM 110.406250 1743649629.6845
MEM 110.406250 1743649629.7900
MEM 110.406250 1743649629.8980
MEM 110.406250 1743649630.0032
MEM 110.406250 1743649630.1057
MEM 110.406250 1743649630.2088
MEM 110.406250 1743649630.3146
MEM 110.406250 1743649630.4254
MEM 110.406250 1743649630.5307
MEM 110.406250 1743649630.6313
MEM 110.406250 1743649630.7321
MEM 110.406250 1743649630.8349
MEM 110.406250 1743649630.9492
MEM 110.406250 1743649631.0513
MEM 110.406250 1743649631.1536
MEM 110.406250 1743649631.2589
MEM 110.406250 1743649631.3638
MEM 110.406250 1743649631.4646
MEM 110.406250 1743649631.5710
MEM 110.406250 1743649631.6728
MEM 110.406250 1743649631.7776
MEM 110.406250 1743649631.8819
MEM 110.406250 1743649631.9881
MEM 110.406250 1743649632.0887
MEM 110.406250 1743649632.1940
MEM 110.406250 1743649632.2971
MEM 110.406250 1743649632.4023
MEM 110.406250 1743649632.5028
MEM 110.406250 1743649632.6071
MEM 110.406250 1743649632.7128
MEM 110.406250 1743649632.8132
MEM 110.406250 1743649632.9202
MEM 110.406250 1743649633.0280
MEM 110.406250 1743649633.1288
MEM 110.406250 1743649633.2333
MEM 110.406250 1743649633.3392
MEM 110.406250 1743649633.4444
MEM 110.406250 1743649633.5474
MEM 110.406250 1743649633.6494
MEM 110.406250 1743649633.7544
MEM 110.406250 1743649633.8551
MEM 110.406250 1743649633.9563
MEM 110.406250 1743649634.0615
MEM 110.406250 1743649634.1668
MEM 110.406250 1743649634.2681
MEM 110.406250 1743649634.3736
MEM 110.406250 1743649634.4750
MEM 110.406250 1743649634.5788
MEM 110.406250 1743649634.6854
MEM 110.406250 1743649634.7899
MEM 110.406250 1743649634.8965
MEM 110.406250 1743649635.0012
MEM 110.406250 1743649635.1177
MEM 110.406250 1743649635.2237
MEM 110.406250 1743649635.3364
MEM 110.406250 1743649635.4579
MEM 110.406250 1743649635.5619
MEM 110.406250 1743649635.6720
MEM 110.390625 1743649635.7724
MEM 73.796875 1743649635.8747
MEM 25.390625 1743649635.9760
MEM 21.906250 1743649636.0766
MEM 20.718750 1743649636.1837
MEM 20.718750 1743649636.2894
MEM 20.718750 1743649636.3941
MEM 20.718750 1743649636.4959
MEM 20.718750 1743649636.5981
MEM 20.718750 1743649636.7000
MEM 20.718750 1743649636.8042
MEM 20.718750 1743649636.9093
MEM 20.718750 1743649637.0105
MEM 20.718750 1743649637.1116
MEM 20.718750 1743649637.2137
MEM 20.718750 1743649637.3172
MEM 20.718750 1743649637.4214
MEM 20.718750 1743649637.5315
MEM 20.718750 1743649637.6349
MEM 20.718750 1743649637.7359
MEM 20.718750 1743649637.8412
MEM 20.718750 1743649637.9439
MEM 20.718750 1743649638.0537
MEM 20.718750 1743649638.1579
MEM 20.734375 1743649638.3239
MEM 20.734375 1743649638.4310
MEM 20.734375 1743649638.5344
MEM 20.734375 1743649638.6401
MEM 20.734375 1743649638.7901
MEM 20.703125 1743649638.8929
MEM 20.703125 1743649639.0026
MEM 20.703125 1743649639.1063
MEM 20.703125 1743649639.2123
MEM 20.703125 1743649639.3189
MEM 20.703125 1743649639.4275
MEM 20.703125 1743649639.5312
MEM 20.703125 1743649639.6329
MEM 20.703125 1743649639.7359
MEM 20.703125 1743649639.8407
MEM 20.703125 1743649639.9512
MEM 20.703125 1743649640.0542
MEM 20.703125 1743649640.1594
MEM 20.703125 1743649640.2637
MEM 20.703125 1743649640.3664
MEM 20.703125 1743649640.4698
MEM 20.703125 1743649640.5726
MEM 20.703125 1743649640.6747
